date,close,%change,,,,date,real,predict
2017/11/17,59.19,3.424777215,57.36,,,2017/11/17,59.19,57.36
2017/11/16,57.23,1.059509094,56.57,,,2017/11/16,57.23,56.57
2017/11/15,56.63,1.161128975,55.91,,,2017/11/15,56.63,55.91
2017/11/14,55.98,0.125201216,55.86,,,2017/11/14,55.98,55.86
2017/11/13,55.91,-0.320912819,56.15,,,2017/11/13,55.91,56.15
2017/11/10,56.09,-0.071263139,56.04,,,2017/11/10,56.09,56.04
2017/11/9,56.13,0.663558106,55.64,,,2017/11/9,56.13,55.64
2017/11/8,55.76,1.106074343,54.97,,,2017/11/8,55.76,54.97
2017/11/7,55.15,-1.58815132,,,,,,
2017/11/6,56.04,0.592353258,,,,,,
2017/11/3,55.71,1.070391872,,,,,,
2017/11/2,55.12,0.090793536,,,,,,
2017/11/1,55.07,0.145480997,,,,,,
2017/10/31,54.99,-0.506603944,,,,,,
2017/10/30,55.27,-1.233023588,,,,,,
2017/10/27,55.96,-1.496215455,,,,,,
2017/10/26,56.81,3.403713142,,,,,,
2017/10/25,54.94,2.845376264,,,,,,
2017/10/24,53.42,-0.447260529,,,,,,
2017/10/23,53.66,1.130795326,,,,,,
2017/10/20,53.06,0.702220535,,,,,,
2017/10/19,52.69,0.745697897,,,,,,
2017/10/18,52.3,0.576923077,,,,,,
2017/10/17,52,1.22639673,,,,,,
2017/10/16,51.37,0.765005885,,,,,,
2017/10/13,50.98,0.295101318,,,,,,
2017/10/12,50.83,-0.391926318,,,,,,
2017/10/11,51.03,-0.970308558,,,,,,
2017/10/10,51.53,0.019409938,,,,,,
2017/10/9,51.52,-1.716901946,,,,,,
2017/10/6,52.42,0.45994634,,,,,,
2017/10/5,52.18,0.192012289,,,,,,
2017/10/4,52.08,1.185156402,,,,,,
2017/10/3,51.47,-0.771158666,,,,,,
2017/10/2,51.87,0.038572806,,,,,,
2017/9/29,51.85,-1.482044461,,,,,,
2017/9/28,52.63,-0.07594456,,,,,,
2017/9/27,52.67,-1.918063315,,,,,,
2017/9/26,53.7,0.882960736,,,,,,
2017/9/25,53.23,-0.01878287,,,,,,
2017/9/22,53.24,0.094002632,,,,,,
2017/9/21,53.19,-0.69081404,,,,,,
2017/9/20,53.56,0.431276955,,,,,,
2017/9/19,53.33,-0.317757009,,,,,,
2017/9/18,53.5,-0.686838686,,,,,,
2017/9/15,53.87,0.26056207,,,,,,
