,sentiment,time,,,
0,neutral,2017-11-17 20:06:06+00:00,,,
1,positive,2017-11-17 19:46:42+00:00,,,
2,positive,2017-11-17 19:30:56+00:00,,,
3,positive,2017-11-17 19:29:54+00:00,,,
4,positive,2017-11-17 18:58:41+00:00,,,
5,positive,2017-11-17 18:49:44+00:00,,,
6,negative,2017-11-17 17:44:00+00:00,,,
7,positive,2017-11-17 17:15:25+00:00,,,
8,positive,2017-11-17 16:47:48+00:00,,,
9,positive,2017-11-17 16:41:13+00:00,,,
10,neutral,2017-11-17 16:01:08+00:00,,,
11,positive,2017-11-17 15:59:11+00:00,,,
12,neutral,2017-11-17 15:45:57+00:00,,,
13,negative,2017-11-17 15:31:24+00:00,,,
14,positive,2017-11-17 15:20:41+00:00,,,
15,positive,2017-11-17 15:18:49+00:00,,,
16,positive,2017-11-17 15:11:07+00:00,,,
17,positive,2017-11-17 15:09:52+00:00,,,
18,neutral,2017-11-17 14:50:03+00:00,,,
19,positive,2017-11-17 14:48:26+00:00,,,
20,positive,2017-11-17 14:48:26+00:00,,,
21,positive,2017-11-17 14:48:26+00:00,,,
22,negative,2017-11-17 14:34:47+00:00,,,
23,positive,2017-11-17 14:32:09+00:00,,,
24,positive,2017-11-17 13:32:25+00:00,,,
25,neutral,2017-11-17 13:17:42+00:00,,,
26,positive,2017-11-17 12:40:08+00:00,,,
27,positive,2017-11-17 12:37:52+00:00,,,
28,positive,2017-11-17 10:09:48+00:00,,,
29,negative,2017-11-17 06:46:09+00:00,,,
30,positive,2017-11-17 05:27:26+00:00,,,
31,negative,2017-11-17 04:00:29+00:00,,,
32,positive,2017-11-17 03:06:00+00:00,,,
33,positive,2017-11-17 03:03:36+00:00,,,
34,positive,2017-11-17 02:24:26+00:00,,,
35,positive,2017-11-16 23:13:45+00:00,,,
36,positive,2017-11-16 21:46:05+00:00,,,
37,negative,2017-11-16 21:41:19+00:00,,,
38,positive,2017-11-16 21:28:18+00:00,,,
39,neutral,2017-11-16 21:23:51+00:00,,,
40,positive,2017-11-16 21:05:48+00:00,,,
41,positive,2017-11-16 20:52:13+00:00,,,
42,neutral,2017-11-16 20:26:21+00:00,,,
43,positive,2017-11-16 19:51:47+00:00,,,
44,negative,2017-11-16 19:42:09+00:00,,,
45,positive,2017-11-16 19:42:09+00:00,,,
46,positive,2017-11-16 19:42:09+00:00,,,
47,neutral,2017-11-16 19:25:56+00:00,,,
48,positive,2017-11-16 19:23:55+00:00,,,
49,positive,2017-11-16 18:49:56+00:00,,,
50,negative,2017-11-16 18:40:19+00:00,,,
51,positive,2017-11-16 18:34:29+00:00,,,
52,positive,2017-11-16 17:26:35+00:00,,,
53,positive,2017-11-16 17:24:00+00:00,,,
54,negative,2017-11-16 17:14:50+00:00,,,
55,negative,2017-11-16 17:14:50+00:00,,,
56,negative,2017-11-16 16:32:51+00:00,,,
57,negative,2017-11-16 16:31:35+00:00,,,
58,negative,2017-11-16 16:28:53+00:00,,,
