date,close,volume,open,high,low,score
2017/11/17,59.19,15475190,58.54,59.53,58.37,20
2017/11/16,57.23,8229222,56.62,57.2775,56.41,10
2017/11/15,56.63,6610014,55.96,56.87,55.08,9
2017/11/14,55.98,5037415,55.71,56.18,55.53,10
2017/11/13,55.91,10105750,55.66,56.085,55.66,16
2017/11/10,56.09,7535726,55.88,56.49,55.62,8
2017/11/9,56.13,10946100,55.5,56.35,55.31,6
2017/11/8,55.76,7078567,55,55.77,54.89,3
2017/11/7,55.15,7364860,55.75,56.015,55.02,10
2017/11/6,56.04,9241026,55.29,56.13,55.14,15
2017/11/3,55.71,9448186,55.15,55.72,55.04,29
2017/11/2,55.12,7250199,55.15,55.32,54.59,4
2017/11/1,55.07,7499459,55.42,55.5,54.85,11
2017/10/31,54.99,9785542,54.75,55.28,54.52,12
2017/10/30,55.27,10169180,55.71,55.93,54.84,9
2017/10/27,55.96,12791410,55.82,56.36,55.65,25
2017/10/26,56.81,21878050,55.26,57.25,55.14,11
2017/10/25,54.94,24785960,53.43,55.905,52.67,21
2017/10/24,53.42,14729220,53.9,54,53.1,21
2017/10/23,53.66,12223710,53.06,53.95,53,11
2017/10/20,53.06,12905160,52.79,53.5,52.79,8
2017/10/19,52.69,12568210,51.66,52.8,51.48,12
2017/10/18,52.3,10890150,52.18,52.4,52.1,10
2017/10/17,52,9491074,51.5,52.04,51.38,17
2017/10/16,51.37,9299326,50.8,51.405,50.64,17
2017/10/13,50.98,16227850,50.83,51.07,50.4,24
2017/10/12,50.83,10727200,50.98,51.12,50.35,22
2017/10/11,51.03,9101142,51.39,51.52,50.83,22
2017/10/10,51.53,8354317,51.58,51.82,51.37,18
2017/10/9,51.52,6874888,52.23,52.3,51.5,8
2017/10/6,52.42,5301091,52.2,52.46,52.12,16
2017/10/5,52.18,5286989,52.01,52.32,51.775,9
2017/10/4,52.08,8167272,51.51,52.13,51.4,3
2017/10/3,51.47,8124809,52,52.05,51.4,9
2017/10/2,51.87,7508536,52.16,52.21,51.66,11
2017/9/29,51.85,12125690,52.59,52.82,51.76,10
2017/9/28,52.63,11313620,52.8,53.03,52.33,-1
2017/9/27,52.67,36193880,52.17,52.69,51.03,-14
2017/9/26,53.7,15497040,53.18,53.97,52.98,-6
2017/9/25,53.23,12244730,53.08,53.56,53,20
2017/9/22,53.24,10962230,53.02,53.61,52.8,33
2017/9/21,53.19,8059362,53.55,53.64,53.09,9
2017/9/20,53.56,7024091,53.49,53.64,53.04,9
2017/9/19,53.33,14676750,52.78,54.05,52.51,4
2017/9/18,53.5,8165325,53.87,54.16,53.4,28
2017/9/15,53.87,9999372,53.86,54.06,53.52,55
2017/9/14,53.73,7488924,53.54,53.89,53.12,7
2017/9/13,53.52,6079979,53.45,53.64,53.04,6
2017/9/12,53.4,7825328,53.77,54.09,53.3,16
2017/9/11,53.03,8649671,52.38,53.13,52.32,8
2017/9/8,52.2,8554996,52.25,52.51,52.11,17
2017/9/7,52.39,6905672,52.76,52.85,52.34,15
2017/9/6,52.76,7401460,53.12,53.34,52.71,14
2017/9/5,53.01,6680199,53.25,53.47,52.88,17
2017/9/1,53.36,5509700,53,53.45,52.9,10
2017/8/31,52.81,7709090,52.6,52.98,52.47,12
