Date,Open,High,Low,Close,Adj Close,Volume,DJI,GSPC,IXIC
2017/5/22,154,154.580002,152.910004,153.990005,152.838211,22966400,20894.83008,2394.02002,6133.620117
2017/5/23,154.899994,154.899994,153.309998,153.800003,152.649643,19918900,20937.91016,2398.419922,6138.709961
2017/5/24,153.839996,154.169998,152.669998,153.339996,152.193069,19178000,21012.41992,2404.389893,6163.02002
2017/5/25,153.729996,154.350006,153.029999,153.869995,152.719101,19235600,21082.94922,2415.070068,6205.259766
2017/5/26,154,154.240005,153.309998,153.610001,152.46106,21701100,21080.2793,2415.820068,6210.189941
2017/5/30,153.419998,154.429993,153.330002,153.669998,152.520599,20126900,21029.4707,2412.909912,6203.189941
2017/5/31,153.970001,154.169998,152.380005,152.759995,151.617416,24451200,21008.65039,2411.800049,6198.52002
2017/6/1,153.169998,153.330002,152.220001,153.179993,152.034271,16404100,21144.17969,2430.060059,6246.830078
2017/6/2,153.580002,155.449997,152.889999,155.449997,154.287292,27770700,21206.28906,2439.070068,6305.799805
2017/6/5,154.339996,154.449997,153.460007,153.929993,152.778656,25331700,21184.03906,2436.100098,6295.680176
2017/6/6,153.899994,155.809998,153.779999,154.449997,153.294785,26624900,21136.23047,2429.330078,6275.060059
2017/6/7,155.020004,155.979996,154.479996,155.369995,154.207901,21069600,21173.68945,2433.139893,6297.379883
2017/6/8,155.25,155.539993,154.399994,154.990005,153.830734,21250800,21182.5293,2433.790039,6321.759766
2017/6/9,155.190002,155.190002,146.020004,148.979996,147.865692,64882700,21271.9707,2431.77002,6207.919922
2017/6/12,145.740005,146.089996,142.509995,145.419998,144.332306,72307300,21235.66992,2429.389893,6175.459961
2017/6/13,147.160004,147.449997,145.149994,146.589996,145.493561,34165400,21328.4707,2440.350098,6220.370117
2017/6/14,147.5,147.5,143.839996,145.160004,144.074265,31531200,21374.56055,2437.919922,6194.890137
2017/6/15,143.320007,144.479996,142.210007,144.289993,143.210754,32165400,21359.90039,2432.459961,6165.5
2017/6/16,143.779999,144.5,142.199997,142.270004,141.205887,50361100,21384.2793,2433.149902,6151.759766
2017/6/19,143.660004,146.740005,143.660004,146.339996,145.245438,32541400,21528.99023,2453.459961,6239.009766
2017/6/20,146.869995,146.869995,144.940002,145.009995,143.925369,24900100,21467.14063,2437.030029,6188.029785
2017/6/21,145.520004,146.070007,144.610001,145.869995,144.778946,21265800,21410.0293,2435.610107,6233.950195
2017/6/22,145.770004,146.699997,145.119995,145.630005,144.540756,19106300,21397.28906,2434.5,6236.689941
2017/6/23,145.130005,147.160004,145.110001,146.279999,145.185883,35439400,21394.75977,2438.300049,6265.25
2017/6/26,147.169998,148.279999,145.380005,145.820007,144.72934,25692400,21409.55078,2439.070068,6247.149902
2017/6/27,145.009995,146.160004,143.619995,143.729996,142.654953,24761900,21310.66016,2419.379883,6146.620117
2017/6/28,144.490005,146.110001,143.160004,145.830002,144.739243,22082400,21454.60938,2440.689941,6234.410156
2017/6/29,144.710007,145.130005,142.279999,143.679993,142.605316,31499400,21287.0293,2419.699951,6144.350098
2017/6/30,144.449997,144.960007,143.779999,144.020004,142.942795,23024100,21349.63086,2423.409912,6140.419922
2017/7/3,144.880005,145.300003,143.100006,143.5,142.426682,14258300,21479.26953,2429.01001,6110.060059
2017/7/5,143.690002,144.789993,142.720001,144.089996,143.012253,21569600,21478.16992,2432.540039,6150.859863
2017/7/6,143.020004,143.5,142.410004,142.729996,141.66243,24128800,21320.03906,2409.75,6089.459961
2017/7/7,142.899994,144.75,142.899994,144.179993,143.101578,19201700,21414.33984,2425.179932,6153.080078
2017/7/10,144.110001,145.949997,143.369995,145.059998,143.975006,21090600,21408.51953,2427.429932,6176.390137
2017/7/11,144.729996,145.850006,144.380005,145.529999,144.441483,19781800,21409.07031,2425.530029,6193.299805
2017/7/12,145.869995,146.179993,144.820007,145.740005,144.649918,24884500,21532.14063,2443.25,6261.169922
2017/7/13,145.5,148.490005,145.440002,147.770004,146.664749,25199400,21553.08984,2447.830078,6274.439941
2017/7/14,147.970001,149.330002,147.330002,149.039993,147.925232,20132100,21637.74023,2459.27002,6312.470215
2017/7/17,148.820007,150.899994,148.570007,149.559998,148.441345,23793500,21629.7207,2459.139893,6314.430176
2017/7/18,149.199997,150.130005,148.669998,150.080002,148.957474,17868800,21574.73047,2460.610107,6344.310059
2017/7/19,150.479996,151.419998,149.949997,151.020004,149.890442,20923000,21640.75,2473.830078,6385.040039
2017/7/20,151.5,151.740005,150.190002,150.339996,149.215515,17243700,21611.7793,2473.449951,6390
2017/7/21,149.990005,150.440002,148.880005,150.270004,149.146042,26252600,21580.07031,2472.540039,6387.75
2017/7/24,150.580002,152.440002,149.899994,152.089996,150.952423,21493200,21513.16992,2469.909912,6410.810059
2017/7/25,151.800003,153.839996,151.800003,152.740005,151.59758,18853900,21613.42969,2477.129883,6412.169922
2017/7/26,153.350006,153.929993,153.059998,153.460007,152.31218,15781000,21711.00977,2477.830078,6422.75
2017/7/27,153.75,153.990005,147.300003,150.559998,149.433868,32476300,21796.55078,2475.419922,6382.189941
2017/7/28,149.889999,150.229996,149.190002,149.5,148.38179,17213700,21830.31055,2472.100098,6374.680176
2017/7/31,149.899994,150.330002,148.130005,148.729996,147.617554,19845900,21891.11914,2470.300049,6348.120117
2017/8/1,149.100006,150.220001,148.410004,150.050003,148.927689,35368600,21963.91992,2476.350098,6362.939941
2017/8/2,159.279999,159.75,156.160004,157.139999,155.964661,69936800,22016.24023,2477.570068,6362.649902
