Date,Open,High,Low,Close,Adj Close,Volume,DJI,GSPC,IXIC
2017/5/22,65.419998,67.5,65.269997,67.379997,67.379997,2365300,20894.83008,2394.02002,6133.620117
2017/5/23,67.860001,67.980003,67,67.379997,67.379997,1416700,20937.91016,2398.419922,6138.709961
2017/5/24,67.589996,68.120003,67.370003,68.07,68.07,1184300,21012.41992,2404.389893,6163.02002
2017/5/25,68.279999,69.080002,68.18,68.660004,68.660004,1685300,21082.94922,2415.070068,6205.259766
2017/5/26,68.529999,69.080002,68.309998,68.800003,68.800003,875400,21080.2793,2415.820068,6210.189941
2017/5/30,68.800003,69.339996,68.559998,68.75,68.75,2264600,21029.4707,2412.909912,6203.189941
2017/5/31,69.050003,69.389999,67.779999,69.389999,69.389999,9400900,21008.65039,2411.800049,6198.52002
2017/6/1,69.5,69.720001,68.720001,69.279999,69.279999,2453400,21144.17969,2430.060059,6246.830078
2017/6/2,68.410004,69.040001,66.660004,68.25,68.25,2240400,21206.28906,2439.070068,6305.799805
2017/6/5,68.139999,68.199997,66.419998,66.610001,66.610001,2557300,21184.03906,2436.100098,6295.680176
2017/6/6,66.709999,67.309998,66.260002,67.129997,67.129997,1473500,21136.23047,2429.330078,6275.060059
2017/6/7,67.129997,67.870003,67,67.830002,67.830002,1598200,21173.68945,2433.139893,6297.379883
2017/6/8,66.669998,67.480003,63.700001,65.099998,65.099998,3609100,21182.5293,2433.790039,6321.759766
2017/6/9,65,65.199997,61.860001,62.560001,62.560001,3722600,21271.9707,2431.77002,6207.919922
2017/6/12,62.310001,62.630001,61.57,62.240002,62.240002,2563400,21235.66992,2429.389893,6175.459961
2017/6/13,62.369999,63.18,61.93,62.82,62.82,1714600,21328.4707,2440.350098,6220.370117
2017/6/14,63.25,63.310001,61.68,62.169998,62.169998,1141000,21374.56055,2437.919922,6194.890137
2017/6/15,61.759998,61.919998,60.77,61.849998,61.849998,1984600,21359.90039,2432.459961,6165.5
2017/6/16,61.849998,62.32,61.849998,62.119999,62.119999,1798800,21384.2793,2433.149902,6151.759766
2017/6/19,62.5,63.169998,62.299999,62.669998,62.669998,785700,21528.99023,2453.459961,6239.009766
