Date,Open,High,Low,Close,Adj Close,Volume,DJI,GSPC,IXIC
2017/5/22,935,941.882996,935,941.859985,941.859985,1120400,20894.83008,2394.02002,6133.620117
2017/5/23,947.919983,951.46698,942.575012,948.820007,948.820007,1270800,20937.91016,2398.419922,6138.709961
2017/5/24,952.97998,955.090027,949.5,954.960022,954.960022,1024800,21012.41992,2404.389893,6163.02002
2017/5/25,957.330017,972.629028,955.469971,969.539978,969.539978,1660500,21082.94922,2415.070068,6205.259766
2017/5/26,969.700012,974.97998,965.030029,971.469971,971.469971,1252000,21080.2793,2415.820068,6210.189941
2017/5/30,970.309998,976.200012,969.48999,975.880005,975.880005,1466700,21029.4707,2412.909912,6203.189941
2017/5/31,975.02002,979.27002,960.179993,964.859985,964.859985,2448100,21008.65039,2411.800049,6198.52002
2017/6/1,968.950012,971.5,960.01001,966.950012,966.950012,1410500,21144.17969,2430.060059,6246.830078
2017/6/2,969.460022,975.880005,966,975.599976,975.599976,1751000,21206.28906,2439.070068,6305.799805
2017/6/5,976.549988,986.909973,975.099976,983.679993,983.679993,1252100,21184.03906,2436.100098,6295.680176
2017/6/6,983.159973,988.25,975.140015,976.570007,976.570007,1814600,21136.23047,2429.330078,6275.060059
2017/6/7,980,983.97998,975.940002,980.940002,980.940002,1453900,21173.68945,2433.139893,6297.379883
2017/6/8,982.349976,984.570007,977.200012,983.409973,983.409973,1471500,21182.5293,2433.790039,6321.759766
2017/6/9,984.5,984.5,935.630005,949.830017,949.830017,3309400,21271.9707,2431.77002,6207.919922
2017/6/12,939.559998,949.35498,915.232971,942.900024,942.900024,3763500,21235.66992,2429.389893,6175.459961
2017/6/13,951.909973,959.97998,944.090027,953.400024,953.400024,2013300,21328.4707,2440.350098,6220.370117
2017/6/14,959.919983,961.150024,942.25,950.76001,950.76001,1489700,21374.56055,2437.919922,6194.890137
2017/6/15,933.969971,943.338989,924.440002,942.309998,942.309998,2133100,21359.90039,2432.459961,6165.5
2017/6/16,940,942.039978,931.594971,939.780029,939.780029,3094700,21384.2793,2433.149902,6151.759766
2017/6/19,949.960022,959.98999,949.049988,957.369995,957.369995,1533300,21528.99023,2453.459961,6239.009766
2017/6/20,957.52002,961.619995,950.01001,950.630005,950.630005,1126000,21467.14063,2437.030029,6188.029785
2017/6/21,953.640015,960.099976,950.76001,959.450012,959.450012,1202200,21410.0293,2435.610107,6233.950195
2017/6/22,958.700012,960.719971,954.549988,957.090027,957.090027,941400,21397.28906,2434.5,6236.689941
2017/6/23,956.830017,966,954.200012,965.590027,965.590027,1527900,21394.75977,2438.300049,6265.25
2017/6/26,969.900024,973.309998,950.789978,952.27002,952.27002,1598400,21409.55078,2439.070068,6247.149902
2017/6/27,942.460022,948.289978,926.849976,927.330017,927.330017,2579900,21310.66016,2419.379883,6146.620117
2017/6/28,929,942.75,916,940.48999,940.48999,2721400,21454.60938,2440.689941,6234.410156
2017/6/29,929.919983,931.26001,910.619995,917.789978,917.789978,3299200,21287.0293,2419.699951,6144.350098
2017/6/30,926.049988,926.049988,908.309998,908.72998,908.72998,2090200,21349.63086,2423.409912,6140.419922
2017/7/3,912.179993,913.940002,894.789978,898.700012,898.700012,1709800,21479.26953,2429.01001,6110.060059
2017/7/5,901.76001,914.51001,898.5,911.710022,911.710022,1813900,21478.16992,2432.540039,6150.859863
2017/7/6,904.119995,914.94397,899.700012,906.690002,906.690002,1424500,21320.03906,2409.75,6089.459961
2017/7/7,908.849976,921.539978,908.849976,918.590027,918.590027,1637800,21414.33984,2425.179932,6153.080078
2017/7/10,921.77002,930.380005,919.590027,928.799988,928.799988,1192800,21408.51953,2427.429932,6176.390137
2017/7/11,929.539978,931.429993,922,930.090027,930.090027,1113200,21409.07031,2425.530029,6193.299805
2017/7/12,938.679993,946.299988,934.469971,943.830017,943.830017,1532100,21532.14063,2443.25,6261.169922
2017/7/13,946.289978,954.450012,943.01001,947.159973,947.159973,1294700,21553.08984,2447.830078,6274.439941
2017/7/14,952,956.909973,948.005005,955.98999,955.98999,1053800,21637.74023,2459.27002,6312.470215
2017/7/17,957,960.73999,949.241028,953.419983,953.419983,1165500,21629.7207,2459.139893,6314.430176
2017/7/18,953,968.039978,950.599976,965.400024,965.400024,1154000,21574.73047,2460.610107,6344.310059
2017/7/19,967.840027,973.039978,964.030029,970.890015,970.890015,1224500,21640.75,2473.830078,6385.040039
2017/7/20,975,975.900024,961.51001,968.150024,968.150024,1624500,21611.7793,2473.449951,6390
2017/7/21,962.25,973.22998,960.150024,972.919983,972.919983,1711000,21580.07031,2472.540039,6387.75
2017/7/24,972.219971,986.200012,970.77002,980.340027,980.340027,3248300,21513.16992,2469.909912,6410.810059
2017/7/25,953.809998,959.700012,945.400024,950.700012,950.700012,4661000,21613.42969,2477.129883,6412.169922
2017/7/26,954.679993,955,942.278992,947.799988,947.799988,2088300,21711.00977,2477.830078,6422.75
2017/7/27,951.780029,951.780029,920,934.090027,934.090027,3213000,21796.55078,2475.419922,6382.189941
2017/7/28,929.400024,943.830017,927.5,941.530029,941.530029,1846400,21830.31055,2472.100098,6374.680176
2017/7/31,941.890015,943.590027,926.039978,930.5,930.5,1970100,21891.11914,2470.300049,6348.120117
2017/8/1,932.380005,937.447021,929.26001,930.830017,930.830017,1277700,21963.91992,2476.350098,6362.939941
2017/8/2,928.609985,932.599976,916.679993,930.390015,930.390015,1824400,22016.24023,2477.570068,6362.649902
2017/8/3,930.340027,932.23999,922.23999,923.650024,923.650024,1202500,22026.09961,2472.159912,6340.339844
2017/8/4,926.75,930.307007,923.030029,927.960022,927.960022,1082300,22092.81055,2476.830078,6351.560059
2017/8/7,929.059998,931.700012,926.5,929.359985,929.359985,1032200,22118.41992,2480.909912,6383.77002
2017/8/8,927.090027,935.814026,925.609985,926.789978,926.789978,1061600,22085.33984,2474.919922,6370.459961
2017/8/9,920.609985,925.97998,917.25,922.900024,922.900024,1192100,22048.69922,2474.02002,6352.330078
2017/8/10,917.549988,919.26001,906.130005,907.23999,907.23999,1824000,21844.00977,2438.209961,6216.870117
2017/8/11,907.969971,917.780029,905.580017,914.390015,914.390015,1206800,21858.32031,2441.320068,6256.560059
2017/8/14,922.530029,924.66803,918.190002,922.669983,922.669983,1064500,21993.71094,2465.840088,6340.22998
2017/8/15,924.22998,926.549988,919.820007,922.219971,922.219971,883400,21998.99023,2464.610107,6333.009766
2017/8/16,925.289978,932.700012,923.445007,926.960022,926.960022,1006700,22024.86914,2468.110107,6345.109863
2017/8/17,925.780029,926.859985,910.97998,910.97998,910.97998,1277200,21750.73047,2430.01001,6221.910156
2017/8/18,910.309998,915.275024,907.153992,910.669983,910.669983,1342700,21674.50977,2425.550049,6216.529785
2017/8/21,910,913,903.400024,906.659973,906.659973,943400,21703.75,2428.370117,6213.129883
2017/8/22,912.719971,925.859985,911.474976,924.690002,924.690002,1166700,21899.89063,2452.51001,6297.47998
2017/8/23,921.929993,929.929993,919.359985,927,927,1090200,21812.08984,2444.040039,6278.410156
2017/8/24,928.659973,930.840027,915.5,921.280029,921.280029,1270300,21783.40039,2438.969971,6271.330078
2017/8/25,923.48999,925.554993,915.5,915.890015,915.890015,1053400,21813.66992,2443.050049,6265.640137
2017/8/28,916,919.244995,911.869995,913.809998,913.809998,1086500,21808.40039,2444.23999,6283.02002
2017/8/29,905.099976,923.330017,905,921.289978,921.289978,1185600,21865.36914,2446.300049,6301.890137
2017/8/30,920.049988,930.81897,919.650024,929.570007,929.570007,1301200,21892.42969,2457.590088,6368.310059
2017/8/31,931.76001,941.97998,931.76001,939.330017,939.330017,1582600,21948.09961,2471.649902,6428.660156
2017/9/1,941.130005,942.47998,935.150024,937.340027,937.340027,947400,21987.56055,2476.550049,6435.330078
2017/9/5,933.080017,937,921.960022,928.450012,928.450012,1326400,21753.31055,2457.850098,6375.569824
2017/9/6,930.150024,930.914978,919.27002,927.809998,927.809998,1527700,21807.64063,2465.540039,6393.310059
2017/9/7,931.72998,936.409973,923.619995,935.950012,935.950012,1212700,21784.7793,2465.100098,6397.870117
2017/9/8,936.48999,936.98999,924.880005,926.5,926.5,1011500,21797.78906,2461.429932,6360.189941
2017/9/11,934.25,938.380005,926.919983,929.080017,929.080017,1267000,22057.36914,2488.110107,6432.259766
2017/9/12,932.590027,933.47998,923.861023,932.070007,932.070007,1134400,22118.85938,2496.47998,6454.279785
