Date,Open,High,Low,Close,Adj Close,Volume,DJI,GSPC,IXIC
2017/5/22,35.48,36.110001,35.380001,35.77,35.294323,14638100,20894.83008,2394.02002,6133.620117
2017/5/23,35.869999,35.990002,35.560001,35.860001,35.383125,16903700,20937.91016,2398.419922,6138.709961
2017/5/24,35.98,36.18,35.889999,36.119999,35.639664,20640600,21012.41992,2404.389893,6163.02002
2017/5/25,36.119999,36.389999,36.060001,36.259998,35.777805,13148500,21082.94922,2415.070068,6205.259766
2017/5/26,36.259998,36.330002,36.130001,36.259998,35.777805,11145500,21080.2793,2415.820068,6210.189941
2017/5/30,36.27,36.439999,36.09,36.18,35.698868,13026900,21029.4707,2412.909912,6203.189941
2017/5/31,36.310001,36.380001,35.869999,36.110001,35.629803,17741900,21008.65039,2411.800049,6198.52002
2017/6/1,36.119999,36.130001,35.799999,36.119999,35.639664,17510900,21144.17969,2430.060059,6246.830078
2017/6/2,36.27,36.330002,36,36.32,35.837009,19127400,21206.28906,2439.070068,6305.799805
2017/6/5,36.299999,36.5,36.200001,36.34,35.856743,11685700,21184.03906,2436.100098,6295.680176
2017/6/6,36.16,36.450001,35.98,36.130001,35.649536,18420900,21136.23047,2429.330078,6275.060059
2017/6/7,36.130001,36.57,36.099998,36.259998,35.777805,17192000,21173.68945,2433.139893,6297.379883
2017/6/8,36.34,36.529999,36.16,36.48,35.994881,16783400,21182.5293,2433.790039,6321.759766
2017/6/9,36.5,36.560001,35.310001,35.709999,35.235119,33322100,21271.9707,2431.77002,6207.919922
2017/6/12,35.59,36.009998,35.41,35.73,35.254852,28488300,21235.66992,2429.389893,6175.459961
2017/6/13,35.68,35.950001,35.529999,35.880001,35.402859,20588200,21328.4707,2440.350098,6220.370117
2017/6/14,35.990002,36.049999,35.220001,35.529999,35.057514,19149000,21374.56055,2437.919922,6194.890137
2017/6/15,35.209999,35.48,35.139999,35.310001,34.840439,20410000,21359.90039,2432.459961,6165.5
