Date,Open,High,Low,Close,Adj Close,Volume,DJI,GSPC,IXIC
2017/5/22,51.77,51.959999,51.400002,51.57,51.049274,13671500,20894.83008,2394.02002,6133.620117
2017/5/23,51.98,52.630001,51.880001,52.200001,51.672916,11087300,20937.91016,2398.419922,6138.709961
2017/5/24,52.25,52.299999,51.740002,52.009998,51.484829,9383600,21012.41992,2404.389893,6163.02002
2017/5/25,52.380001,52.59,52.209999,52.349998,51.821392,7627500,21082.94922,2415.070068,6205.259766
2017/5/26,52.349998,52.759998,52.23,52.59,52.058975,5921300,21080.2793,2415.820068,6210.189941
2017/5/30,52.759998,53.02,52.639999,52.919998,52.385635,8039600,21029.4707,2412.909912,6203.189941
2017/5/31,53.02,53.279999,52.709999,52.990002,52.454937,8938800,21008.65039,2411.800049,6198.52002
2017/6/1,53.060001,53.299999,52.209999,52.299999,51.948364,13352100,21144.17969,2430.060059,6246.830078
2017/6/2,52.700001,53.009998,52.360001,52.98,52.623791,18511200,21206.28906,2439.070068,6305.799805
2017/6/5,53,53.23,52.700001,53.009998,52.653587,5748900,21184.03906,2436.100098,6295.680176
2017/6/6,52.900002,53.099998,52.43,52.48,52.127151,8923000,21136.23047,2429.330078,6275.060059
2017/6/7,52.790001,53.360001,52.75,53.23,52.872112,7438300,21173.68945,2433.139893,6297.379883
2017/6/8,53.23,54.139999,53.150002,53.200001,52.842316,7680200,21182.5293,2433.790039,6321.759766
2017/6/9,53.200001,53.470001,52.799999,53.459999,53.100563,8347400,21271.9707,2431.77002,6207.919922
2017/6/12,53.509998,54.25,53.5,54.029999,53.666733,9180000,21235.66992,2429.389893,6175.459961
2017/6/13,54.029999,54.66,53.84,54.310001,53.944851,8720100,21328.4707,2440.350098,6220.370117
2017/6/14,54.48,54.669998,53.950001,54.66,54.292496,6783900,21374.56055,2437.919922,6194.890137
2017/6/15,54,54.049999,52.73,52.900002,52.544331,16041100,21359.90039,2432.459961,6165.5
2017/6/16,51.75,51.84,50.790001,51.099998,50.756432,25725500,21384.2793,2433.149902,6151.759766
2017/6/19,51.419998,52.220001,51.400002,52.02,51.670246,11265300,21528.99023,2453.459961,6239.009766
2017/6/20,52.049999,52.130001,51.099998,51.560001,51.213341,10676500,21467.14063,2437.030029,6188.029785
2017/6/21,51.900002,52.689999,51.900002,52.59,52.236412,13021700,21410.0293,2435.610107,6233.950195
2017/6/22,52.599998,52.619999,52.09,52.400002,52.047691,10660700,21397.28906,2434.5,6236.689941
2017/6/23,52.150002,52.919998,51.669998,52.849998,52.494663,8522400,21394.75977,2438.300049,6265.25
2017/6/26,52.950001,53.57,52.669998,53.279999,52.921772,7966200,21409.55078,2439.070068,6247.149902
2017/6/27,53.189999,53.259998,52.639999,52.950001,52.593994,7873100,21310.66016,2419.379883,6146.620117
2017/6/28,53.169998,53.610001,52.959999,53.360001,53.001236,7527200,21454.60938,2440.689941,6234.410156
2017/6/29,53.330002,53.630001,52.990002,53.169998,52.812515,14801900,21287.0293,2419.699951,6144.350098
2017/6/30,56.599998,59.709999,56.5,59,58.603317,46553000,21349.63086,2423.409912,6140.419922
2017/7/3,58.369999,59.009998,58.330002,58.650002,58.255672,9910000,21479.26953,2429.01001,6110.060059
2017/7/5,58.240002,58.290001,57.509998,57.560001,57.173,16167000,21478.16992,2432.540039,6150.859863
2017/7/6,57.450001,57.720001,57,57.16,56.775688,9035700,21320.03906,2409.75,6089.459961
2017/7/7,57.400002,58.080002,57.029999,57.98,57.590172,8145400,21414.33984,2425.179932,6153.080078
2017/7/10,57.889999,58.810001,57.68,58.73,58.335129,8942400,21408.51953,2427.429932,6176.390137
2017/7/11,58.540001,58.93,58.040001,58.18,57.78883,7223000,21409.07031,2425.530029,6193.299805
2017/7/12,58.310001,58.75,58.099998,58.220001,57.828564,7243100,21532.14063,2443.25,6261.169922
2017/7/13,58.220001,58.580002,57.93,57.939999,57.550442,8108600,21553.08984,2447.830078,6274.439941
2017/7/14,57.950001,58.209999,57.639999,58,57.610039,6345300,21637.74023,2459.27002,6312.470215
