date,close,volume,open,high,low,score,DJI,GSPC,IXIC
11/17/17,59.19,15475190,58.54,59.53,58.37,20,20894.83008,2394.02002,6133.620117
11/16/17,57.23,8229222,56.62,57.2775,56.41,10,20937.91016,2398.419922,6138.709961
11/15/17,56.63,6610014,55.96,56.87,55.08,9,21012.41992,2404.389893,6163.02002
11/14/17,55.98,5037415,55.71,56.18,55.53,10,21082.94922,2415.070068,6205.259766
11/13/17,55.91,10105750,55.66,56.085,55.66,16,21080.2793,2415.820068,6210.189941
11/10/17,56.09,7535726,55.88,56.49,55.62,8,21029.4707,2412.909912,6203.189941
11/9/17,56.13,10946100,55.5,56.35,55.31,6,21008.65039,2411.800049,6198.52002
11/8/17,55.76,7078567,55,55.77,54.89,3,21144.17969,2430.060059,6246.830078
11/7/17,55.15,7364860,55.75,56.015,55.02,10,21206.28906,2439.070068,6305.799805
11/6/17,56.04,9241026,55.29,56.13,55.14,15,21184.03906,2436.100098,6295.680176
11/3/17,55.71,9448186,55.15,55.72,55.04,29,21136.23047,2429.330078,6275.060059
11/2/17,55.12,7250199,55.15,55.32,54.59,4,21173.68945,2433.139893,6297.379883
11/1/17,55.07,7499459,55.42,55.5,54.85,11,21182.5293,2433.790039,6321.759766
10/31/17,54.99,9785542,54.75,55.28,54.52,12,21271.9707,2431.77002,6207.919922
10/30/17,55.27,10169180,55.71,55.93,54.84,9,21235.66992,2429.389893,6175.459961
10/27/17,55.96,12791410,55.82,56.36,55.65,25,21328.4707,2440.350098,6220.370117
10/26/17,56.81,21878050,55.26,57.25,55.14,11,21374.56055,2437.919922,6194.890137
10/25/17,54.94,24785960,53.43,55.905,52.67,21,21359.90039,2432.459961,6165.5
10/24/17,53.42,14729220,53.9,54,53.1,21,21384.2793,2433.149902,6151.759766
10/23/17,53.66,12223710,53.06,53.95,53,11,21528.99023,2453.459961,6239.009766
10/20/17,53.06,12905160,52.79,53.5,52.79,8,21467.14063,2437.030029,6188.029785
10/19/17,52.69,12568210,51.66,52.8,51.48,12,21410.0293,2435.610107,6233.950195
10/18/17,52.3,10890150,52.18,52.4,52.1,10,21397.28906,2434.5,6236.689941
10/17/17,52,9491074,51.5,52.04,51.38,17,21394.75977,2438.300049,6265.25
10/16/17,51.37,9299326,50.8,51.405,50.64,17,21409.55078,2439.070068,6247.149902
10/13/17,50.98,16227850,50.83,51.07,50.4,24,21310.66016,2419.379883,6146.620117
10/12/17,50.83,10727200,50.98,51.12,50.35,22,21454.60938,2440.689941,6234.410156
10/11/17,51.03,9101142,51.39,51.52,50.83,22,21287.0293,2419.699951,6144.350098
10/10/17,51.53,8354317,51.58,51.82,51.37,18,21349.63086,2423.409912,6140.419922
10/9/17,51.52,6874888,52.23,52.3,51.5,8,21479.26953,2429.01001,6110.060059
10/6/17,52.42,5301091,52.2,52.46,52.12,16,21478.16992,2432.540039,6150.859863
10/5/17,52.18,5286989,52.01,52.32,51.775,9,21320.03906,2409.75,6089.459961
10/4/17,52.08,8167272,51.51,52.13,51.4,3,21414.33984,2425.179932,6153.080078
10/3/17,51.47,8124809,52,52.05,51.4,9,21408.51953,2427.429932,6176.390137
10/2/17,51.87,7508536,52.16,52.21,51.66,11,21409.07031,2425.530029,6193.299805
9/29/17,51.85,12125690,52.59,52.82,51.76,10,21532.14063,2443.25,6261.169922
9/28/17,52.63,11313620,52.8,53.03,52.33,-1,21553.08984,2447.830078,6274.439941
9/27/17,52.67,36193880,52.17,52.69,51.03,-14,21637.74023,2459.27002,6312.470215
9/26/17,53.7,15497040,53.18,53.97,52.98,-6,21629.7207,2459.139893,6314.430176
9/25/17,53.23,12244730,53.08,53.56,53,20,21574.73047,2460.610107,6344.310059
9/22/17,53.24,10962230,53.02,53.61,52.8,33,21640.75,2473.830078,6385.040039
9/21/17,53.19,8059362,53.55,53.64,53.09,9,21611.7793,2473.449951,6390
9/20/17,53.56,7024091,53.49,53.64,53.04,9,21580.07031,2472.540039,6387.75
9/19/17,53.33,14676750,52.78,54.05,52.51,4,21513.16992,2469.909912,6410.810059
9/18/17,53.5,8165325,53.87,54.16,53.4,28,21613.42969,2477.129883,6412.169922
9/15/17,53.87,9999372,53.86,54.06,53.52,55,21711.00977,2477.830078,6422.75
9/14/17,53.73,7488924,53.54,53.89,53.12,7,21796.55078,2475.419922,6382.189941
9/13/17,53.52,6079979,53.45,53.64,53.04,6,21830.31055,2472.100098,6374.680176
9/12/17,53.4,7825328,53.77,54.09,53.3,16,21891.11914,2470.300049,6348.120117
9/11/17,53.03,8649671,52.38,53.13,52.32,8,21963.91992,2476.350098,6362.939941
9/8/17,52.2,8554996,52.25,52.51,52.11,17,22016.24023,2477.570068,6362.649902
9/7/17,52.39,6905672,52.76,52.85,52.34,15,22026.09961,2472.159912,6340.339844
9/6/17,52.76,7401460,53.12,53.34,52.71,14,22092.81055,2476.830078,6351.560059
9/5/17,53.01,6680199,53.25,53.47,52.88,17,22118.41992,2480.909912,6383.77002
9/1/17,53.36,5509700,53,53.45,52.9,10,22085.33984,2474.919922,6370.459961
8/31/17,52.81,7709090,52.6,52.98,52.47,12,22048.69922,2474.02002,6352.330078
8/30/17,52.56,7141739,52.8,52.96,52.25,13,21844.00977,2438.209961,6216.870117
8/29/17,52.73,12526610,52.74,52.8775,52.065,-6,21858.32031,2441.320068,6256.560059
8/28/17,53.73,5267309,54.07,54.43,53.615,5,21993.71094,2465.840088,6340.22998
8/25/17,53.9,6416006,54.03,54.2,53.5375,23,21998.99023,2464.610107,6333.009766
8/24/17,53.84,5461910,53.93,53.97,53.46,15,22024.86914,2468.110107,6345.109863
8/23/17,53.61,6408312,53.92,54.08,53.445,15,21750.73047,2430.01001,6221.910156
8/22/17,54.13,8212705,53.92,54.41,53.79,20,21674.50977,2425.550049,6216.529785
8/21/17,53.61,14275780,54.44,54.44,53.105,10,21703.75,2428.370117,6213.129883
8/18/17,54.95,22863480,54.85,55.42,54.17,4,21899.89063,2452.51001,6297.47998
8/17/17,57.46,8912592,58.53,58.7445,57.42,6,21812.08984,2444.040039,6278.410156
8/16/17,58.54,5489569,58.9,59.05,58.221,13,21783.40039,2438.969971,6271.330078
