,score
0,20
1,10
2,9
3,10
4,16
5,8
6,6
7,3
8,10
9,15
10,29
11,4
12,11
13,12
14,9
15,25
16,11
17,21
18,21
19,11
20,8
21,12
22,10
23,17
24,17
25,24
26,22
27,22
28,18
29,8
30,16
31,9
32,3
33,9
34,11
35,10
36,-1
37,-14
38,-6
39,20
40,33
41,9
42,9
43,4
44,28
45,55
46,7
47,6
48,16
49,8
50,17
51,15
52,14
53,17
54,10
55,12
56,13
57,-6
58,5
59,23
60,15
61,15
62,20
63,10
64,4
65,6
66,13
67,17
68,14
69,28
70,12
71,6
72,9
73,9
74,13
75,11
76,13
77,15
78,9
79,13
80,12
81,20
82,12
83,14
84,23
85,13
86,16
87,31
88,11
89,17
90,34
91,13
92,16
93,6
94,19
95,6
96,5
97,7
98,36
99,14
100,10
101,11
102,14
103,24
104,16
105,1
106,4
107,6
108,13
109,1
110,21
111,12
112,13
113,8
114,21
115,11
116,10
117,7
118,14
119,12
120,6
121,9
122,18
123,11
124,22
125,11
126,12
